ensembl_id	no_na	mean	median	sd	lowerq	upperq	min	max
ENSG00000108349	101	10.465346534653465	4	12.619480461917316	2	16	1	55
ENSG00000221555	101	10.465346534653465	4	12.619480461917316	2	16	1	55
ENSG00000108352	101	10.465346534653465	4	12.619480461917316	2	16	1	55
ENSG00000279199	101	10.673267326732674	4	12.606434000851383	2	17	1	55
ENSG00000266101	101	9.643564356435643	5	11.973791511810987	2	12	1	48
ENSG00000067191	101	9.633663366336634	5	11.6685241331346	2	12	1	47
ENSG00000141748	101	9.326732673267326	4	11.500529475542496	2	12	1	47
ENSG00000280177	101	9.326732673267326	4	11.500529475542496	2	12	1	47
ENSG00000171475	101	8.752475247524753	3	11.032140264331359	2	11	1	43
ENSG00000094804	101	8.257425742574258	3	10.468670847195964	2	10	1	43
ENSG00000274308	101	4.7227722772277225	2	10.284083636261608	2	4	1	93
ENSG00000275029	101	4.7227722772277225	2	10.284083636261608	2	4	1	93
ENSG00000275700	101	4.693069306930693	2	10.170292595847403	2	4	1	93
ENSG00000277589	101	4.693069306930693	2	10.170292595847403	2	4	1	93
ENSG00000276326	101	4.693069306930693	2	10.170292595847403	2	4	1	93
ENSG00000277579	101	4.693069306930693	2	10.170292595847403	2	4	1	93
ENSG00000278638	101	4.693069306930693	2	10.170292595847403	2	4	1	93
ENSG00000278845	101	5.920792079207921	3	10.08531920002221	2	6	1	83
ENSG00000277399	101	5.920792079207921	3	10.08531920002221	2	6	1	83
ENSG00000276170	101	6.108910891089109	3	10.07660755423075	2	6	1	83
ENSG00000275832	101	6.148514851485149	3	10.07609660395717	2	6	1	83
ENSG00000276810	101	4.415841584158416	2	9.823713479873762	2	4	1	93
ENSG00000274211	101	5.8415841584158414	3	9.775206057436668	2	6	1	83
ENSG00000131759	101	7.217821782178218	3	9.65464029407211	2	8	1	43
ENSG00000161381	101	8.099009900990099	4	9.467317413602492	2	11	1	47
ENSG00000274487	101	4.930693069306931	2	9.170885917666377	2	5	1	83
ENSG00000273604	101	6.306930693069307	3	8.845046720348543	2	6	1	54
ENSG00000263818	101	7.623762376237623	4	8.811187757786705	2	10	1	47
ENSG00000222494	101	7.623762376237623	4	8.811187757786705	2	10	1	47
ENSG00000265666	100	6.19	3	8.44314915637333	2	6	1	43
ENSG00000278918	101	6.1683168316831685	3	8.403653142450244	2	6	1	43
ENSG00000266208	101	6.1683168316831685	3	8.403653142450244	2	6	1	43
ENSG00000183153	101	6.1683168316831685	3	8.403653142450244	2	6	1	43
ENSG00000264655	101	6.1683168316831685	3	8.403653142450244	2	6	1	43
ENSG00000252618	100	6.05	3	8.375499382066117	2	5.25	1	43
ENSG00000273627	99	5.96969696969697	3	8.337834282322989	2	6	1	54
ENSG00000279119	99	5.96969696969697	3	8.337834282322989	2	6	1	54
ENSG00000276036	99	5.96969696969697	3	8.337834282322989	2	6	1	54
ENSG00000274996	101	6.01980198019802	3	8.334242854656686	2	6	1	54
ENSG00000278346	101	6.03960396039604	3	8.33417157500277	2	5	1	43
ENSG00000277182	100	6.15	3	8.318623380673928	2	6	1	54
ENSG00000277258	101	6.099009900990099	3	8.292773903218452	2	6	1	54
ENSG00000275023	101	5.99009900990099	3	8.285523579720174	2	6	1	54
ENSG00000275665	101	5.99009900990099	3	8.285523579720174	2	6	1	54
ENSG00000277791	101	6.128712871287129	3	8.283312581735201	2	6	1	54
ENSG00000274607	101	6.128712871287129	3	8.283312581735201	2	6	1	54
ENSG00000277972	101	6	3	8.281304245105357	2	6	1	54
ENSG00000275238	101	5.920792079207921	3	8.255523203670172	2	6	1	54
ENSG00000277969	101	5.920792079207921	3	8.255523203670172	2	6	1	54
ENSG00000275532	101	5.920792079207921	3	8.255523203670172	2	6	1	54
ENSG00000277426	100	7.15	4	8.245445636069269	2	9	1	46
ENSG00000266013	100	7.15	4	8.245445636069269	2	9	1	46
ENSG00000266588	101	7.099009900990099	4	8.220103345451381	2	9	1	46
ENSG00000214553	101	7.207920792079208	4	8.2113541291107	2	9	1	46
ENSG00000266048	101	7.207920792079208	4	8.2113541291107	2	9	1	46
ENSG00000277021	101	7.207920792079208	4	8.2113541291107	2	9	1	46
ENSG00000265428	101	7.1584158415841586	4	8.197234501058666	2	9	1	46
ENSG00000276293	101	6.069306930693069	3	7.850168693400893	2	6	1	46
ENSG00000267772	101	7.257425742574258	4	7.796991041865489	3	8	1	39
ENSG00000170836	101	7.257425742574258	4	7.796991041865489	3	8	1	39
ENSG00000281267	101	7.1584158415841586	4	7.7688257455902905	3	8	1	39
ENSG00000200013	100	7.06	4	7.744427778484452	2.75	7.25	1	39
ENSG00000204952	101	6.594059405940594	4	7.742322930260378	2	7	1	46
ENSG00000239932	101	6.97029702970297	4	7.738805393010674	2	7	1	39
ENSG00000224011	101	6.97029702970297	4	7.738805393010674	2	7	1	39
ENSG00000252534	101	6.97029702970297	4	7.738805393010674	2	7	1	39
ENSG00000267678	101	7.089108910891089	4	7.691682533621614	3	8	1	39
ENSG00000266943	101	7.089108910891089	4	7.691682533621614	3	8	1	39
ENSG00000002834	101	6.544554455445544	4	7.683130550075597	2	7	1	46
ENSG00000263466	101	6.405940594059406	4	7.618632709117539	2	7	1	46
ENSG00000277057	101	6.405940594059406	4	7.618632709117539	2	7	1	46
ENSG00000265784	101	6.405940594059406	4	7.618632709117539	2	7	1	46
ENSG00000263874	101	6.405940594059406	4	7.618632709117539	2	7	1	46
ENSG00000244086	101	6.2772277227722775	3	7.54469192463309	2	6	1	46
ENSG00000267248	101	7.0594059405940595	4	7.485748836526935	2	8	1	39
ENSG00000267095	101	7.0594059405940595	4	7.481740148091509	2	8	1	39
ENSG00000167434	101	7.0594059405940595	4	7.481740148091509	2	8	1	39
ENSG00000266960	101	7.0594059405940595	4	7.481740148091509	2	8	1	39
ENSG00000281662	101	7.0594059405940595	4	7.481740148091509	2	8	1	39
ENSG00000252577	101	7	4	7.473954776421918	2	8	1	39
ENSG00000241157	101	7	4	7.473954776421918	2	8	1	39
ENSG00000170832	101	6.96039603960396	4	7.46715580670339	2	8	1	39
ENSG00000280588	101	6.96039603960396	4	7.46715580670339	2	8	1	39
ENSG00000271626	101	6.96039603960396	4	7.46715580670339	2	8	1	39
ENSG00000275562	101	6.97029702970297	4	7.463853489377393	2	8	1	39
ENSG00000270553	101	6.99009900990099	4	7.431682244963048	3	8	1	39
ENSG00000259349	101	6.99009900990099	4	7.431682244963048	3	8	1	39
ENSG00000141371	101	6.920792079207921	4	7.421163208442234	2	8	1	39
ENSG00000267295	100	6.96	4	7.41540847346138	2	8	1	39
ENSG00000277532	100	6.96	4	7.41540847346138	2	8	1	39
ENSG00000273559	101	6.0594059405940595	3	7.409212889610094	2	6	1	46
ENSG00000274054	101	6.0594059405940595	3	7.409212889610094	2	6	1	46
ENSG00000275489	101	6.0594059405940595	3	7.409212889610094	2	6	1	46
ENSG00000213228	101	6.9504950495049505	4	7.4072616230612	3	8	1	39
ENSG00000062725	101	6.96039603960396	4	7.405296472227439	3	8	1	39
ENSG00000125691	101	6.148514851485149	3	7.382934563727165	2	6	1	46
ENSG00000252699	101	6.148514851485149	3	7.382934563727165	2	6	1	46
ENSG00000199293	101	6.148514851485149	3	7.382934563727165	2	6	1	46
ENSG00000280852	101	7	4	7.376991256603196	2	8	1	39
ENSG00000267083	101	6.683168316831683	4	7.319741379405842	2	7	1	39
ENSG00000211515	101	6.683168316831683	4	7.319741379405842	2	7	1	39
ENSG00000263189	101	5.7227722772277225	3	7.314531853620146	2	5	1	48
ENSG00000267416	101	6.900990099009901	4	7.3082213301117935	2	8	1	39
ENSG00000261040	101	6.900990099009901	4	7.3082213301117935	2	8	1	39
ENSG00000108443	101	6.920792079207921	4	7.302990029182338	2	8	1	39
ENSG00000229980	101	6.514851485148514	4	7.298786010544683	2	8	1	56
ENSG00000262006	101	6.534653465346534	4	7.291864448048446	2	8	1	56
ENSG00000264322	101	6.455445544554456	4	7.286322464007817	2	6	1	39
ENSG00000277363	101	5.653465346534653	3	7.286200166841914	2	6	1	38
ENSG00000254114	101	6.524752475247524	4	7.267178351197858	2	7	1	39
ENSG00000241913	101	6.881188118811881	4	7.258494511553854	2	8	1	39
ENSG00000199004	101	6.910891089108911	4	7.244444781901495	3	8	1	39
ENSG00000201524	101	6.910891089108911	4	7.244444781901495	3	8	1	39
ENSG00000108423	101	6.910891089108911	4	7.244444781901495	3	8	1	39
ENSG00000270264	101	6.910891089108911	4	7.244444781901495	3	8	1	39
ENSG00000267104	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000267302	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000266992	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000238283	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000275860	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000274378	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000263422	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000266701	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000265638	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000263820	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000264049	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000068097	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000267526	101	6.8415841584158414	4	7.207957648692626	2	8	1	39
ENSG00000252444	101	4.594059405940594	3	7.200247520497864	2	4	0	58
ENSG00000233941	101	4.594059405940594	3	7.200247520497864	2	4	0	58
ENSG00000267318	101	6.861386138613861	4	7.200041254007226	2	8	1	39
ENSG00000189050	101	6.861386138613861	4	7.200041254007226	2	8	1	39
ENSG00000057663	101	4.574257425742574	3	7.193533950227058	2	4	0	58
ENSG00000273744	101	4.574257425742574	3	7.193533950227058	2	4	0	58
ENSG00000244710	101	4.574257425742574	3	7.193533950227058	2	4	0	58
ENSG00000141232	101	6.3861386138613865	4	7.190229894836052	2	8	1	56
ENSG00000207499	101	4.534653465346534	3	7.1617935692613255	2	4	1	58
ENSG00000202386	101	4.534653465346534	3	7.1617935692613255	2	4	1	58
ENSG00000200314	101	4.534653465346534	3	7.1617935692613255	2	4	1	58
ENSG00000108846	101	6.415841584158416	4	7.161378815190093	2	8	1	56
ENSG00000062716	101	6.8316831683168315	4	7.142925600803488	3	8	1	39
ENSG00000267637	101	6.8415841584158414	4	7.141054086431956	3	8	1	39
ENSG00000154945	101	6.366336633663367	4	7.139639727993602	2	8	1	56
ENSG00000262967	101	6.366336633663367	4	7.139639727993602	2	8	1	56
ENSG00000201340	101	6.366336633663367	4	7.139639727993602	2	8	1	56
ENSG00000130347	101	4.673267326732673	3	7.107895484446981	2	4	1	58
ENSG00000200295	101	4.673267326732673	3	7.107895484446981	2	4	1	58
ENSG00000130348	101	4.673267326732673	3	7.107895484446981	2	4	1	58
ENSG00000216977	101	4.673267326732673	3	7.107895484446981	2	4	1	58
ENSG00000278963	100	6.22	4	7.1004054515046935	2	7.25	1	56
ENSG00000112297	101	4.584158415841584	3	7.084161667738354	2	4	1	58
ENSG00000222881	101	5.217821782178218	3	7.08181327118421	2	5	1	39
ENSG00000207577	101	4.851485148514851	3	7.080093415504998	2	4	1	58
ENSG00000057657	101	4.524752475247524	3	7.0761487539564065	2	4	1	58
ENSG00000269919	101	4.524752475247524	3	7.0761487539564065	2	4	1	58
ENSG00000272398	101	4.891089108910891	3	7.0695134063088245	2	4	1	58
ENSG00000130349	101	4.891089108910891	3	7.0695134063088245	2	4	1	58
ENSG00000200198	101	4.554455445544554	3	7.068911157349133	2	4	1	58
ENSG00000167117	101	6.217821782178218	4	7.0676784878714445	2	8	1	56
ENSG00000278672	101	6.217821782178218	4	7.0676784878714445	2	8	1	56
ENSG00000248702	101	6.217821782178218	4	7.0676784878714445	2	8	1	56
ENSG00000173714	101	6.217821782178218	4	7.0676784878714445	2	8	1	56
ENSG00000261976	101	6.217821782178218	4	7.0676784878714445	2	8	1	56
ENSG00000243521	101	6.217821782178218	4	7.0676784878714445	2	8	1	56
ENSG00000108848	101	6.237623762376238	4	7.067034052346833	2	8	1	56
ENSG00000249870	101	6.03960396039604	4	7.058216194024108	2	7	1	56
ENSG00000008294	101	5.97029702970297	4	7.053304821917956	2	7	1	56
ENSG00000178409	101	4.8415841584158414	3	7.04376699397038	2	4	1	58
ENSG00000239672	101	5.821782178217822	3	7.037607604298438	2	6	1	56
ENSG00000011052	101	5.821782178217822	3	7.037607604298438	2	6	1	56
ENSG00000247011	101	6.03960396039604	4	7.032667761353735	2	7	1	56
ENSG00000251665	101	6.03960396039604	4	7.032667761353735	2	7	1	56
ENSG00000141378	101	6.673267326732673	4	7.025822244963345	2	7	1	39
ENSG00000280959	101	5.4950495049504955	3	7.019435536246825	2	5	1	42
ENSG00000200538	101	5.4950495049504955	3	7.019435536246825	2	5	1	42
ENSG00000229654	101	4.782178217821782	3	7.005146622870987	2	4	1	58
ENSG00000235142	101	4.792079207920792	3	7.001880935410382	2	4	1	58
ENSG00000202285	101	4.792079207920792	3	7.001880935410382	2	4	1	58
ENSG00000280803	101	5.811881188118812	3	7.001018313484301	2	7	1	56
ENSG00000243678	101	5.792079207920792	3	7.000452602058196	2	6	1	56
ENSG00000279089	101	5.792079207920792	3	6.997595060709313	2	6	1	56
ENSG00000033327	101	5.0594059405940595	3	6.996887568309523	2	4	1	43
ENSG00000254420	101	5.0594059405940595	3	6.996887568309523	2	4	1	43
ENSG00000254649	101	5.0594059405940595	3	6.996887568309523	2	4	1	43
ENSG00000249383	101	5.742574257425742	3	6.985203598101539	2	6	1	56
ENSG00000249982	101	5.742574257425742	3	6.985203598101539	2	6	1	56
ENSG00000249658	101	5.742574257425742	3	6.985203598101539	2	6	1	56
ENSG00000225860	101	5.742574257425742	3	6.985203598101539	2	6	1	56
ENSG00000118369	101	5.108910891089109	3	6.981262049370457	2	4	1	43
ENSG00000266222	100	5.41	3	6.967594544559388	2	5	1	42
ENSG00000267711	101	3.495049504950495	2	6.96652533531062	1	4	1	67
ENSG00000267547	101	3.495049504950495	2	6.96652533531062	1	4	1	67
ENSG00000267745	101	3.495049504950495	2	6.96652533531062	1	4	1	67
ENSG00000267648	101	3.495049504950495	2	6.96652533531062	1	4	1	67
ENSG00000252125	101	4.772277227722772	3	6.956840070202579	2	4	1	58
ENSG00000276620	101	4.742574257425742	3	6.953637127930295	2	4	1	58
ENSG00000011258	101	5.702970297029703	3	6.949164776367654	2	6	1	56
ENSG00000264895	101	5.702970297029703	3	6.949164776367654	2	6	1	56
ENSG00000011260	101	5.702970297029703	3	6.949164776367654	2	6	1	56
ENSG00000121067	101	6.475247524752476	3	6.920396028271706	2	7	1	31
ENSG00000108256	101	5.7227722772277225	3	6.915372458344074	2	6	1	34
ENSG00000256162	101	3.8415841584158414	3	6.88582990389296	2	4	1	69
ENSG00000131747	101	5.00990099009901	2	6.859293038651943	2	5	1	39
ENSG00000240125	101	5.00990099009901	2	6.859293038651943	2	5	1	39
ENSG00000182742	100	5.54	3	6.855536728687539	2	5.25	1	42
ENSG00000257178	100	5.54	3	6.855536728687539	2	5.25	1	42
ENSG00000274592	100	5.54	3	6.855536728687539	2	5.25	1	42
ENSG00000264451	101	5.396039603960396	3	6.852852264452798	2	5	1	42
