ensembl_id	no_na	mean	median	sd	lowerq	upperq	min	max
ENSG00000275374	215	2.4558139534883723	2	9.803997428228017	1	2	0	145
ENSG00000273957	215	2.4558139534883723	2	9.803997428228017	1	2	0	145
ENSG00000249787	215	2.4558139534883723	2	9.803997428228017	1	2	0	145
ENSG00000247877	215	2.4558139534883723	2	9.803997428228017	1	2	0	145
ENSG00000174132	215	2.4558139534883723	2	9.803997428228017	1	2	0	145
ENSG00000224057	215	4.21860465116279	2	9.119334902937872	2	4	1	99
ENSG00000146648	215	4.223255813953489	2	9.117940546934433	2	4	1	99
ENSG00000280890	215	4.223255813953489	2	9.117940546934433	2	4	1	99
ENSG00000237210	215	4.223255813953489	2	9.117940546934433	2	4	1	99
ENSG00000230564	215	4.223255813953489	2	9.117940546934433	2	4	1	99
ENSG00000230936	215	4.227906976744186	3	9.117056152536437	2	4	1	99
ENSG00000132434	215	4.186046511627907	3	8.992353485755542	2	4	1	99
ENSG00000154978	215	4.144186046511628	2	8.83454620759872	2	4	1	99
ENSG00000223475	215	4.088372093023255	2	8.752388440437368	2	4	1	99
ENSG00000233977	215	4.088372093023255	2	8.752388440437368	2	4	1	99
ENSG00000231394	215	4.088372093023255	2	8.752388440437368	2	4	1	99
ENSG00000234844	215	4.069767441860465	2	8.74614828131493	2	4	1	99
ENSG00000235207	215	4.069767441860465	2	8.74614828131493	2	4	1	99
ENSG00000231317	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000176826	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000252857	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000275853	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000224971	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000237799	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000275875	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000273720	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000226278	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000206729	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000154997	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000235738	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000225270	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000229762	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000225018	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000227499	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000178665	215	4.051162790697674	3	8.690535514000523	2	4	1	99
ENSG00000161405	215	3.8372093023255816	2	8.361377140736607	2	3	1	68
ENSG00000265178	215	3.841860465116279	2	8.3600695498085	2	3	1	68
ENSG00000141741	215	3.841860465116279	2	8.3600695498085	2	3	1	68
ENSG00000141738	215	3.841860465116279	2	8.3600695498085	2	3	1	68
ENSG00000161395	215	3.7674418604651163	2	8.050765358932942	2	3	1	68
ENSG00000141736	215	3.7674418604651163	2	8.050765358932942	2	3	1	68
ENSG00000171532	215	3.772093023255814	2	8.050028315425772	2	3	1	68
ENSG00000214546	215	3.772093023255814	2	8.050028315425772	2	3	1	68
ENSG00000131771	215	3.772093023255814	2	8.050028315425772	2	3	1	68
ENSG00000131748	215	3.772093023255814	2	8.050028315425772	2	3	1	68
ENSG00000173991	215	3.772093023255814	2	8.050028315425772	2	3	1	68
ENSG00000141744	215	3.772093023255814	2	8.050028315425772	2	3	1	68
ENSG00000267574	215	4.725581395348837	3	7.797917677452433	2	5	1	84
ENSG00000222777	215	3.627906976744186	2	7.756285530133035	2	3	1	68
ENSG00000273576	215	3.627906976744186	2	7.756285530133035	2	3	1	68
ENSG00000223091	215	3.4558139534883723	2	7.2991262543796624	2	3	1	68
ENSG00000167258	215	3.4604651162790696	2	7.297872546700826	2	3	1	68
ENSG00000280920	215	3.772093023255814	2	7.23175517989654	2	4	1	92
ENSG00000231427	215	3.7116279069767444	2	7.032674386019753	2	4	1	92
ENSG00000108306	215	3.2837209302325583	2	6.816586774101753	2	3	1	68
ENSG00000265904	215	3.2837209302325583	2	6.816586774101753	2	3	1	68
ENSG00000266469	215	3.26046511627907	2	6.8068869582967055	2	3	1	68
ENSG00000125686	215	3.269767441860465	2	6.805149743376419	2	3	1	68
ENSG00000205628	215	3.567441860465116	2	6.7411319708022495	2	4	1	92
ENSG00000222355	215	3.572093023255814	2	6.740390376025173	2	4	1	92
ENSG00000271306	215	3.572093023255814	2	6.740390376025173	2	4	1	92
ENSG00000232418	215	3.572093023255814	2	6.740390376025173	2	4	1	92
ENSG00000235454	215	3.572093023255814	2	6.740390376025173	2	4	1	92
ENSG00000238131	215	3.572093023255814	2	6.740390376025173	2	4	1	92
ENSG00000249773	215	3.841860465116279	3	6.709117542921581	2	4	1	76
ENSG00000146729	215	3.841860465116279	3	6.709117542921581	2	4	1	76
ENSG00000239789	215	3.841860465116279	3	6.709117542921581	2	4	1	76
ENSG00000146733	215	3.855813953488372	3	6.709085147516524	2	4	1	76
ENSG00000146731	215	3.855813953488372	3	6.709085147516524	2	4	1	76
ENSG00000105171	215	4.706976744186046	3	6.595998339011441	2	5	1	60
ENSG00000226117	214	3.303738317757009	2	6.581114325976757	2	3	1	62
ENSG00000264663	215	3.33953488372093	2	6.580278504988728	2	3	1	62
ENSG00000186075	215	3.3069767441860467	2	6.564468052874783	2	3	1	62
ENSG00000166289	215	4.702325581395349	3	6.557063978972795	2	5	1	60
ENSG00000073605	215	3.2883720930232556	2	6.55676896803236	2	3	1	62
ENSG00000172057	215	3.2883720930232556	2	6.55676896803236	2	3	1	62
ENSG00000266248	215	4.604651162790698	3	6.553658944079563	2	5	1	60
ENSG00000279387	215	4.604651162790698	3	6.553658944079563	2	5	1	60
ENSG00000187135	215	4.609302325581395	3	6.553582666958441	2	5	1	60
ENSG00000274103	215	4.651162790697675	3	6.550607166444672	2	5	1	60
ENSG00000267433	215	4.651162790697675	3	6.550607166444672	2	5	1	60
ENSG00000105173	215	4.674418604651163	3	6.550026504307359	2	5	1	60
ENSG00000131943	215	4.674418604651163	3	6.548599515800599	2	5	1	60
ENSG00000278895	214	4.579439252336448	3	6.501047056407585	2	5	1	60
ENSG00000267258	215	4.609302325581395	3	6.500604355566596	2	5	1	60
ENSG00000105176	215	4.609302325581395	3	6.500604355566596	2	5	1	60
ENSG00000242100	215	4.609302325581395	3	6.500604355566596	2	5	1	60
ENSG00000228627	215	3.488372093023256	2	6.456801431104482	2	4	1	92
ENSG00000218586	215	3.7348837209302324	2	6.30601566081574	2	4	1	76
ENSG00000232612	215	3.683720930232558	2	6.298825370118739	2	4	1	76
ENSG00000132432	215	3.683720930232558	2	6.295857198641133	2	4	1	76
ENSG00000234707	215	3.683720930232558	2	6.295857198641133	2	4	1	76
ENSG00000264515	215	4.52093023255814	3	6.267277358292352	2	5	1	60
ENSG00000213673	215	3.613953488372093	2	6.0969419864889325	2	4	1	76
ENSG00000066468	215	3.0232558139534884	2	6.096146983278049	2	3	1	86
ENSG00000223432	215	3.0186046511627906	2	6.095013122200095	2	3	1	86
ENSG00000222979	215	3.0232558139534884	2	6.093846950699738	2	3	1	86
ENSG00000170419	215	3.627906976744186	2	6.0935972825395615	2	4	1	76
ENSG00000224223	215	3.627906976744186	2	6.0935972825395615	2	4	1	76
ENSG00000228735	215	3.627906976744186	2	6.0935972825395615	2	4	1	76
ENSG00000223540	215	3.0093023255813955	2	6.09350097922968	2	3	1	86
ENSG00000224250	215	3.0093023255813955	2	6.09350097922968	2	3	1	86
ENSG00000107669	215	3.0093023255813955	2	6.09350097922968	2	3	1	86
ENSG00000201884	215	3.0093023255813955	2	6.09350097922968	2	3	1	86
ENSG00000226864	215	3.013953488372093	2	6.093108616679091	2	3	1	86
ENSG00000273767	215	3.0093023255813955	2	6.092734065219042	2	3	1	86
ENSG00000276742	215	3.0093023255813955	2	6.092734065219042	2	3	1	86
ENSG00000107672	215	3.0093023255813955	2	6.092734065219042	2	3	1	86
ENSG00000273891	215	3.0093023255813955	2	6.092734065219042	2	3	1	86
ENSG00000200471	215	3.6325581395348836	2	6.09273049795159	2	4	1	76
ENSG00000264968	215	3.1348837209302327	2	6.009761674443693	2	3	1	62
ENSG00000204913	215	3.1348837209302327	2	6.009761674443693	2	3	1	62
ENSG00000167914	215	3.130232558139535	2	6.008698324357833	2	3	1	62
ENSG00000108344	215	3.1209302325581394	2	6.007338119346745	2	3	1	62
ENSG00000265799	215	3.1209302325581394	2	6.007338119346745	2	3	1	62
ENSG00000008838	215	3.0651162790697675	2	5.839395841594164	2	3	1	62
ENSG00000108342	215	3.0697674418604652	2	5.838941736296878	2	3	1	62
ENSG00000275267	215	3.0697674418604652	2	5.838941736296878	2	3	1	62
ENSG00000238793	215	3.0697674418604652	2	5.838941736296878	2	3	1	62
ENSG00000273604	215	3.055813953488372	2	5.81302526821992	2	3	1	55
ENSG00000267006	215	4.390697674418605	3	5.749921330363434	2	5	1	60
ENSG00000267692	215	4.390697674418605	3	5.749921330363434	2	5	1	60
ENSG00000266910	215	4.390697674418605	3	5.749921330363434	2	5	1	60
ENSG00000267507	215	3.2651162790697676	2	5.738005927073122	2	4	1	84
ENSG00000198134	215	3.8232558139534882	3	5.567463776401526	2	4	0	71
ENSG00000121380	215	3.8046511627906976	3	5.563480449699861	2	4	0	71
ENSG00000267498	215	4.213953488372093	3	5.542595523580399	2	4	1	60
ENSG00000276251	215	4.213953488372093	3	5.542595523580399	2	4	1	60
ENSG00000276631	215	4.213953488372093	3	5.542595523580399	2	4	1	60
ENSG00000241604	215	4.213953488372093	3	5.542595523580399	2	4	1	60
ENSG00000169021	215	4.21860465116279	3	5.541991604206899	2	4	1	60
ENSG00000221497	215	3.902325581395349	3	5.506558891729104	2	4	1	73
ENSG00000226298	215	3.902325581395349	3	5.506558891729104	2	4	1	73
ENSG00000234159	215	3.9069767441860463	3	5.504517912835571	2	4	1	73
ENSG00000108298	215	3.013953488372093	2	5.503167371552666	2	3	1	68
ENSG00000141750	215	3.013953488372093	2	5.503167371552666	2	3	1	68
ENSG00000265460	215	3.013953488372093	2	5.503167371552666	2	3	1	68
ENSG00000141748	215	3.0046511627906978	2	5.501484654689255	2	3	1	68
ENSG00000280177	215	3.0046511627906978	2	5.501484654689255	2	3	1	68
ENSG00000266101	215	3.0046511627906978	2	5.501484654689255	2	3	1	68
ENSG00000067191	215	3.0046511627906978	2	5.501484654689255	2	3	1	68
ENSG00000155313	215	3.8930232558139535	3	5.500441585876861	2	4	1	73
ENSG00000147548	215	3.488372093023256	2	5.48137071430393	2	4	1	72
ENSG00000254898	215	3.488372093023256	2	5.48137071430393	2	4	1	72
ENSG00000272092	215	3.488372093023256	2	5.48137071430393	2	4	1	72
ENSG00000165046	215	3.488372093023256	2	5.48137071430393	2	4	1	72
ENSG00000254981	215	3.488372093023256	2	5.48137071430393	2	4	1	72
ENSG00000272159	215	3.488372093023256	2	5.48137071430393	2	4	1	72
ENSG00000279390	215	3.869767441860465	3	5.427669457516413	2	4	1	73
ENSG00000236471	215	3.869767441860465	3	5.427669457516413	2	4	1	73
ENSG00000214976	215	3.8093023255813954	3	5.426303794984377	2	4	1	73
ENSG00000224602	215	3.8093023255813954	3	5.426303794984377	2	4	1	73
ENSG00000252273	215	3.8046511627906976	3	5.4231225912223495	2	4	1	73
ENSG00000253361	215	3.4604651162790696	2	5.403967888647604	2	4	1	72
ENSG00000254321	215	3.488372093023256	2	5.394580583695448	2	4	1	72
ENSG00000147526	215	3.4930232558139536	2	5.393722352625657	2	4	1	72
ENSG00000207258	215	3.4930232558139536	2	5.393722352625657	2	4	1	72
ENSG00000253586	215	3.4930232558139536	2	5.393722352625657	2	4	1	72
ENSG00000253829	215	3.4976744186046513	2	5.392859954757982	2	4	1	72
ENSG00000212564	215	3.8511627906976744	3	5.391771685877258	2	4	1	73
ENSG00000235609	215	3.8372093023255816	3	5.3874648233044615	2	4	1	73
ENSG00000235277	215	3.8372093023255816	3	5.3874648233044615	2	4	1	73
ENSG00000180530	215	3.8372093023255816	3	5.3874648233044615	2	4	1	73
ENSG00000229047	215	3.8372093023255816	3	5.3874648233044615	2	4	1	73
ENSG00000231201	215	3.8372093023255816	3	5.3874648233044615	2	4	1	73
ENSG00000224524	215	3.8232558139534882	3	5.38572174327041	2	4	1	73
ENSG00000224247	215	3.8232558139534882	3	5.38572174327041	2	4	1	73
ENSG00000281903	215	3.832558139534884	3	5.385152699187518	2	4	1	73
ENSG00000167232	215	3.6930232558139533	3	5.38331601194871	2	4	1	77
ENSG00000267934	215	3.6930232558139533	3	5.38331601194871	2	4	1	77
ENSG00000269431	215	3.6930232558139533	3	5.38331601194871	2	4	1	77
ENSG00000268992	215	3.6930232558139533	3	5.38331601194871	2	4	1	77
ENSG00000268908	215	3.6697674418604653	3	5.383235264065728	2	4	1	77
ENSG00000254100	215	3.4465116279069767	2	5.383053576900386	2	4	1	72
ENSG00000269416	215	3.683720930232558	3	5.382774978002723	2	4	1	77
ENSG00000226406	215	3.813953488372093	3	5.38193505638052	2	4	1	73
ENSG00000196166	215	3.4139534883720932	2	5.381761402386684	2	4	1	72
ENSG00000077782	215	3.4093023255813955	2	5.378210362865844	2	4	1	72
ENSG00000255201	215	3.4093023255813955	2	5.378210362865844	2	4	1	72
ENSG00000239218	215	3.4093023255813955	2	5.378210362865844	2	4	1	72
ENSG00000201966	214	3.710280373831776	3	5.362903960370501	2	4	1	77
ENSG00000196172	215	3.6790697674418604	3	5.357698546023566	2	4	1	77
ENSG00000233836	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000205246	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000269662	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000267924	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000277493	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000213967	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000269289	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000269397	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000269421	215	3.688372093023256	3	5.3547607127495755	2	4	1	77
ENSG00000268442	215	3.73953488372093	3	5.353579444331436	2	4	1	77
ENSG00000253570	214	3.411214953271028	2	5.352290143907006	2	4	1	72
ENSG00000213096	215	3.730232558139535	3	5.351370463116383	2	4	1	77
ENSG00000279425	215	3.730232558139535	3	5.351370463116383	2	4	1	77
ENSG00000268058	215	3.730232558139535	3	5.351370463116383	2	4	1	77
ENSG00000276030	215	3.730232558139535	3	5.351370463116383	2	4	1	77
ENSG00000207199	214	3.485981308411215	2	5.349502168020719	2	4	0	72
ENSG00000275201	215	3.646511627906977	3	5.349091495802968	2	4	1	77
ENSG00000268100	215	3.646511627906977	3	5.349091495802968	2	4	1	77
